2025-03-31 12:09:27,244 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:13:08,599 - INFO - Metrics: CPU=5.8%, RAM=61.2%, Disk=45.2%
2025-03-31 12:13:11,663 - INFO - Metrics: CPU=22.3%, RAM=61.0%, Disk=45.2%
2025-03-31 12:13:14,683 - INFO - Metrics: CPU=6.7%, RAM=61.2%, Disk=45.2%
2025-03-31 12:13:17,714 - INFO - Metrics: CPU=6.0%, RAM=60.2%, Disk=45.2%
2025-03-31 12:13:20,804 - INFO - Metrics: CPU=14.9%, RAM=60.4%, Disk=45.2%
2025-03-31 12:13:23,823 - INFO - Metrics: CPU=3.7%, RAM=60.7%, Disk=45.2%
2025-03-31 12:13:26,845 - INFO - Metrics: CPU=6.9%, RAM=61.2%, Disk=45.2%
2025-03-31 12:13:29,869 - INFO - Metrics: CPU=11.8%, RAM=61.8%, Disk=45.2%
2025-03-31 12:13:30,150 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:13:31,167 - INFO - Metrics: CPU=7.6%, RAM=61.5%, Disk=45.2%
2025-03-31 12:13:34,229 - INFO - Metrics: CPU=7.7%, RAM=61.1%, Disk=45.2%
2025-03-31 12:13:37,247 - INFO - Metrics: CPU=7.6%, RAM=60.5%, Disk=45.2%
2025-03-31 12:13:38,444 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:13:39,458 - INFO - Metrics: CPU=7.5%, RAM=60.8%, Disk=45.2%
2025-03-31 12:13:41,054 - INFO - Metrics: CPU=6.9%, RAM=60.8%, Disk=45.2%
2025-03-31 12:13:44,126 - INFO - Metrics: CPU=7.6%, RAM=61.4%, Disk=45.2%
2025-03-31 12:13:47,147 - INFO - Metrics: CPU=7.6%, RAM=60.7%, Disk=45.2%
2025-03-31 12:13:50,176 - INFO - Metrics: CPU=42.1%, RAM=61.4%, Disk=45.2%
2025-03-31 12:13:53,196 - INFO - Metrics: CPU=6.0%, RAM=61.4%, Disk=45.2%
2025-03-31 12:13:56,215 - INFO - Metrics: CPU=6.4%, RAM=60.6%, Disk=45.2%
2025-03-31 12:13:59,242 - INFO - Metrics: CPU=8.5%, RAM=60.4%, Disk=45.2%
2025-03-31 12:14:02,270 - INFO - Metrics: CPU=15.6%, RAM=60.0%, Disk=45.2%
2025-03-31 12:14:05,289 - INFO - Metrics: CPU=8.5%, RAM=59.8%, Disk=45.2%
2025-03-31 12:14:08,306 - INFO - Metrics: CPU=6.0%, RAM=59.9%, Disk=45.2%
2025-03-31 12:14:11,336 - INFO - Metrics: CPU=8.8%, RAM=59.9%, Disk=45.2%
2025-03-31 12:14:14,357 - INFO - Metrics: CPU=13.1%, RAM=60.0%, Disk=45.2%
2025-03-31 12:14:17,379 - INFO - Metrics: CPU=8.6%, RAM=60.1%, Disk=45.2%
2025-03-31 12:14:20,507 - INFO - Metrics: CPU=41.5%, RAM=60.8%, Disk=45.2%
2025-03-31 12:14:23,536 - INFO - Metrics: CPU=6.5%, RAM=61.0%, Disk=45.2%
2025-03-31 12:14:26,559 - INFO - Metrics: CPU=9.2%, RAM=61.1%, Disk=45.2%
2025-03-31 12:14:29,587 - INFO - Metrics: CPU=6.0%, RAM=61.0%, Disk=45.2%
2025-03-31 12:14:32,611 - INFO - Metrics: CPU=6.2%, RAM=60.5%, Disk=45.2%
2025-03-31 12:14:35,633 - INFO - Metrics: CPU=53.4%, RAM=60.4%, Disk=45.2%
2025-03-31 12:14:38,655 - INFO - Metrics: CPU=13.2%, RAM=62.3%, Disk=45.2%
2025-03-31 12:14:41,676 - INFO - Metrics: CPU=7.2%, RAM=59.9%, Disk=45.2%
2025-03-31 12:14:44,697 - INFO - Metrics: CPU=7.0%, RAM=59.9%, Disk=45.2%
2025-03-31 12:14:47,720 - INFO - Metrics: CPU=7.8%, RAM=59.7%, Disk=45.2%
2025-03-31 12:14:50,745 - INFO - Metrics: CPU=61.4%, RAM=60.4%, Disk=45.2%
2025-03-31 12:14:53,768 - INFO - Metrics: CPU=6.2%, RAM=60.2%, Disk=45.2%
2025-03-31 12:14:56,789 - INFO - Metrics: CPU=6.9%, RAM=60.3%, Disk=45.2%
2025-03-31 12:14:59,811 - INFO - Metrics: CPU=7.2%, RAM=60.0%, Disk=45.2%
2025-03-31 12:15:02,835 - INFO - Metrics: CPU=8.0%, RAM=60.2%, Disk=45.2%
2025-03-31 12:15:05,859 - INFO - Metrics: CPU=60.6%, RAM=60.0%, Disk=45.2%
2025-03-31 12:15:08,881 - INFO - Metrics: CPU=7.4%, RAM=60.3%, Disk=45.2%
2025-03-31 12:15:11,907 - INFO - Metrics: CPU=14.6%, RAM=61.0%, Disk=45.2%
2025-03-31 12:15:14,929 - INFO - Metrics: CPU=11.2%, RAM=60.9%, Disk=45.2%
2025-03-31 12:15:17,950 - INFO - Metrics: CPU=11.8%, RAM=60.8%, Disk=45.2%
2025-03-31 12:15:20,975 - INFO - Metrics: CPU=68.2%, RAM=61.5%, Disk=45.2%
2025-03-31 12:15:24,016 - INFO - Metrics: CPU=3.3%, RAM=60.7%, Disk=45.2%
2025-03-31 12:15:27,038 - INFO - Metrics: CPU=1.3%, RAM=60.6%, Disk=45.2%
2025-03-31 12:15:30,061 - INFO - Metrics: CPU=2.3%, RAM=60.5%, Disk=45.2%
2025-03-31 12:15:33,081 - INFO - Metrics: CPU=6.2%, RAM=60.7%, Disk=45.2%
2025-03-31 12:15:36,103 - INFO - Metrics: CPU=10.1%, RAM=61.5%, Disk=45.2%
2025-03-31 12:15:39,124 - INFO - Metrics: CPU=6.0%, RAM=61.0%, Disk=45.2%
2025-03-31 12:15:42,146 - INFO - Metrics: CPU=5.5%, RAM=60.8%, Disk=45.2%
2025-03-31 12:15:45,165 - INFO - Metrics: CPU=0.5%, RAM=60.8%, Disk=45.2%
2025-03-31 12:15:47,653 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:15:48,665 - INFO - Metrics: CPU=2.9%, RAM=61.1%, Disk=45.2%
2025-03-31 12:15:49,940 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:15:50,953 - INFO - Metrics: CPU=3.3%, RAM=61.1%, Disk=45.2%
2025-03-31 12:15:52,476 - INFO - Metrics: CPU=2.2%, RAM=60.9%, Disk=45.2%
2025-03-31 12:15:55,515 - INFO - Metrics: CPU=4.7%, RAM=60.9%, Disk=45.2%
2025-03-31 12:15:58,536 - INFO - Metrics: CPU=2.1%, RAM=61.0%, Disk=45.2%
2025-03-31 12:16:01,561 - INFO - Metrics: CPU=6.3%, RAM=61.2%, Disk=45.2%
2025-03-31 12:16:04,588 - INFO - Metrics: CPU=4.4%, RAM=61.2%, Disk=45.2%
2025-03-31 12:16:07,610 - INFO - Metrics: CPU=5.2%, RAM=60.9%, Disk=45.2%
2025-03-31 12:16:10,631 - INFO - Metrics: CPU=2.6%, RAM=61.2%, Disk=45.2%
2025-03-31 12:16:13,655 - INFO - Metrics: CPU=3.2%, RAM=60.9%, Disk=45.2%
2025-03-31 12:16:16,677 - INFO - Metrics: CPU=2.8%, RAM=60.7%, Disk=45.2%
2025-03-31 12:16:19,698 - INFO - Metrics: CPU=2.5%, RAM=60.5%, Disk=45.2%
2025-03-31 12:16:22,720 - INFO - Metrics: CPU=5.7%, RAM=61.4%, Disk=45.2%
2025-03-31 12:16:25,742 - INFO - Metrics: CPU=3.5%, RAM=60.7%, Disk=45.2%
2025-03-31 12:16:28,763 - INFO - Metrics: CPU=4.1%, RAM=61.3%, Disk=45.2%
2025-03-31 12:16:31,788 - INFO - Metrics: CPU=0.0%, RAM=61.4%, Disk=45.2%
2025-03-31 12:16:34,817 - INFO - Metrics: CPU=0.0%, RAM=61.4%, Disk=45.2%
2025-03-31 12:16:37,844 - INFO - Metrics: CPU=1.5%, RAM=62.0%, Disk=45.2%
2025-03-31 12:16:40,872 - INFO - Metrics: CPU=0.1%, RAM=61.9%, Disk=45.2%
2025-03-31 12:16:43,903 - INFO - Metrics: CPU=2.8%, RAM=61.7%, Disk=45.2%
2025-03-31 12:16:46,930 - INFO - Metrics: CPU=0.0%, RAM=61.7%, Disk=45.2%
2025-03-31 12:16:49,961 - INFO - Metrics: CPU=0.0%, RAM=61.4%, Disk=45.2%
2025-03-31 12:16:52,991 - INFO - Metrics: CPU=0.2%, RAM=61.4%, Disk=45.2%
2025-03-31 12:16:56,017 - INFO - Metrics: CPU=0.2%, RAM=61.2%, Disk=45.2%
2025-03-31 12:16:59,044 - INFO - Metrics: CPU=1.4%, RAM=61.2%, Disk=45.2%
2025-03-31 12:17:02,068 - INFO - Metrics: CPU=0.7%, RAM=61.2%, Disk=45.2%
2025-03-31 12:17:05,088 - INFO - Metrics: CPU=4.9%, RAM=61.3%, Disk=45.2%
2025-03-31 12:17:08,107 - INFO - Metrics: CPU=5.2%, RAM=60.7%, Disk=45.2%
2025-03-31 12:17:11,128 - INFO - Metrics: CPU=4.3%, RAM=61.2%, Disk=45.2%
2025-03-31 12:17:14,149 - INFO - Metrics: CPU=4.5%, RAM=62.2%, Disk=45.2%
2025-03-31 12:17:17,177 - INFO - Metrics: CPU=1.4%, RAM=61.8%, Disk=45.2%
2025-03-31 12:17:20,198 - INFO - Metrics: CPU=4.7%, RAM=62.1%, Disk=45.2%
2025-03-31 12:17:23,219 - INFO - Metrics: CPU=2.4%, RAM=62.2%, Disk=45.2%
2025-03-31 12:17:26,239 - INFO - Metrics: CPU=1.5%, RAM=62.2%, Disk=45.2%
2025-03-31 12:17:29,264 - INFO - Metrics: CPU=5.2%, RAM=62.2%, Disk=45.2%
2025-03-31 12:17:32,287 - INFO - Metrics: CPU=5.4%, RAM=62.2%, Disk=45.2%
2025-03-31 12:17:35,306 - INFO - Metrics: CPU=0.9%, RAM=62.0%, Disk=45.3%
2025-03-31 12:17:38,323 - INFO - Metrics: CPU=1.8%, RAM=61.9%, Disk=45.3%
2025-03-31 12:17:41,341 - INFO - Metrics: CPU=2.7%, RAM=61.9%, Disk=45.3%
2025-03-31 12:17:44,362 - INFO - Metrics: CPU=2.9%, RAM=61.6%, Disk=45.3%
2025-03-31 12:17:47,382 - INFO - Metrics: CPU=2.7%, RAM=61.8%, Disk=45.3%
2025-03-31 12:17:50,405 - INFO - Metrics: CPU=8.4%, RAM=62.0%, Disk=45.3%
2025-03-31 12:17:53,429 - INFO - Metrics: CPU=5.8%, RAM=62.2%, Disk=45.3%
2025-03-31 12:17:56,449 - INFO - Metrics: CPU=2.3%, RAM=62.2%, Disk=45.3%
2025-03-31 12:17:59,473 - INFO - Metrics: CPU=7.1%, RAM=62.5%, Disk=45.2%
2025-03-31 12:18:02,495 - INFO - Metrics: CPU=1.9%, RAM=62.6%, Disk=45.2%
2025-03-31 12:18:05,514 - INFO - Metrics: CPU=1.7%, RAM=62.7%, Disk=45.2%
2025-03-31 12:18:08,535 - INFO - Metrics: CPU=2.0%, RAM=62.6%, Disk=45.2%
2025-03-31 12:18:11,560 - INFO - Metrics: CPU=0.5%, RAM=62.5%, Disk=45.2%
2025-03-31 12:18:14,585 - INFO - Metrics: CPU=7.2%, RAM=62.5%, Disk=45.2%
2025-03-31 12:18:17,610 - INFO - Metrics: CPU=1.8%, RAM=62.5%, Disk=45.2%
2025-03-31 12:18:20,630 - INFO - Metrics: CPU=3.1%, RAM=62.5%, Disk=45.2%
2025-03-31 12:18:23,649 - INFO - Metrics: CPU=2.9%, RAM=62.7%, Disk=45.2%
2025-03-31 12:18:26,667 - INFO - Metrics: CPU=1.5%, RAM=63.6%, Disk=45.2%
2025-03-31 12:18:29,687 - INFO - Metrics: CPU=9.9%, RAM=62.7%, Disk=45.2%
2025-03-31 12:18:32,706 - INFO - Metrics: CPU=1.1%, RAM=62.7%, Disk=45.2%
2025-03-31 12:18:35,726 - INFO - Metrics: CPU=3.1%, RAM=62.9%, Disk=45.2%
2025-03-31 12:18:38,747 - INFO - Metrics: CPU=3.7%, RAM=63.0%, Disk=45.2%
2025-03-31 12:18:41,769 - INFO - Metrics: CPU=2.4%, RAM=62.7%, Disk=45.2%
2025-03-31 12:18:44,790 - INFO - Metrics: CPU=12.1%, RAM=62.9%, Disk=45.2%
2025-03-31 12:18:47,814 - INFO - Metrics: CPU=1.7%, RAM=62.9%, Disk=45.2%
2025-03-31 12:18:50,836 - INFO - Metrics: CPU=1.2%, RAM=62.8%, Disk=45.2%
2025-03-31 12:18:53,863 - INFO - Metrics: CPU=8.1%, RAM=60.3%, Disk=45.2%
2025-03-31 12:18:56,887 - INFO - Metrics: CPU=1.8%, RAM=58.8%, Disk=45.2%
2025-03-31 12:18:59,911 - INFO - Metrics: CPU=6.5%, RAM=58.8%, Disk=45.2%
2025-03-31 12:19:02,936 - INFO - Metrics: CPU=0.9%, RAM=58.9%, Disk=45.2%
2025-03-31 12:19:05,963 - INFO - Metrics: CPU=1.2%, RAM=58.5%, Disk=45.2%
2025-03-31 12:19:08,984 - INFO - Metrics: CPU=1.8%, RAM=58.4%, Disk=45.2%
2025-03-31 12:19:12,004 - INFO - Metrics: CPU=1.3%, RAM=58.4%, Disk=45.2%
2025-03-31 12:19:15,024 - INFO - Metrics: CPU=6.2%, RAM=58.3%, Disk=45.2%
2025-03-31 12:19:18,046 - INFO - Metrics: CPU=1.8%, RAM=58.3%, Disk=45.2%
2025-03-31 12:19:21,065 - INFO - Metrics: CPU=4.1%, RAM=58.1%, Disk=45.2%
2025-03-31 12:19:24,086 - INFO - Metrics: CPU=2.7%, RAM=58.1%, Disk=45.2%
2025-03-31 12:19:27,107 - INFO - Metrics: CPU=2.7%, RAM=58.2%, Disk=45.2%
2025-03-31 12:19:30,125 - INFO - Metrics: CPU=4.6%, RAM=58.2%, Disk=45.2%
